"stockid","stocklong","assessid","method","country","region","area","species","comm_name","nyr","yr1","yr2","ssb_units","r_units","tb_units","catch_units","catch_use","r_age_yr","type","class","order","family","linf_cm","k","winf_g","tmax_yr","tmat_yr","m","lmat_cm","sst_c_avg","sst_c_trend","sst_c_cv","alpha","beta","sigmaR","theta","alpha_se","beta_se","sigmaR_se","theta_se","alpha_lo","beta_lo","sigmaR_lo","theta_lo","alpha_hi","beta_hi","sigmaR_hi","theta_hi","theta_sig","lcolor","pcolor"
"ACADREDGOMGB","Acadian redfish Gulf of Maine / Georges Bank","NEFSC-ACADREDGOMGB-1913-2014-SISIMP2016","ASAP","USA","US East Coast","Gulf of Maine / Georges Bank","Sebastes fasciatus","Acadian redfish",101,1913,2013,"MT","E00",NA,"MT","TC",1,"fish","Actinopterygii","Scorpaeniformes","Sebastidae",36.0796589948631,0.151675321662475,722.588724926144,27.9998562126589,6.12372652901606,0.139530289127198,23.0143726420409,9.41249192806056,0.0223531970702355,0.0679768047421975,2.05989369469952,0.321449834113408,1.47402645950168,0.271417178601555,0.764197842731067,0.194603769350177,0.133735286377121,0.214404351998428,0.56206592294663,-0.0599735538129395,1.21190529820252,-0.148815351315364,3.55772146645241,0.702873222039756,1.73614762080084,0.691649708518475,"none","grey60","black"
"ALBANPAC","Albacore tuna North Pacific","ISC-ALBANPAC-1952-2015-PONS","SS3","Multinational","Pacific Ocean","North Pacific Ocean","Thunnus alalunga","Albacore tuna",23,1993,2015,"MT","E00","MT","MT","TL",NA,"fish","Actinopterygii","Perciformes","Scombridae",141.864513874259,0.180272954729569,37677.4853497062,15.0009396105679,4.74425572570805,0.255720222864568,81.3580941439297,21.5575790487445,0.0156738331515574,0.00903993064937277,2.78708459702636,0.225610538715638,0.224924925913315,0.0208829423186368,0.606905690951891,0.0486291332424564,0.0334053983764867,0.188861375367819,1.59754944276065,0.130297437560423,0.159450345095401,-0.349285353402289,3.97661975129207,0.320923639870852,0.290399506731229,0.391051238039562,"none","grey60","black"
"ALBASPAC","Albacore tuna South Pacific Ocean","SPC-ALBASPAC-1952-2015-PONS","Unknown","multinational","Pacific Ocean","South Pacific Ocean","Thunnus alalunga","Albacore tuna",54,1960,2013,"MT","E00",NA,"MT","TL",NA,"fish","Actinopterygii","Perciformes","Scombridae",141.864513874259,0.180272954729569,37677.4853497062,15.0009396105679,4.74425572570805,0.255720222864568,81.3580941439297,22.3128700516645,0.0106506076526173,0.00924516580974436,1.0251751107708,0.149196705358467,0.441778064156488,0.141601161481552,0.339506869650667,0.0672962767016913,0.042730058407745,0.227908105694086,0.359741646255491,0.0172960030231521,0.358027149677308,-0.305098725678857,1.69060857528611,0.281097407693782,0.525528978635668,0.588301048641961,"none","grey60","black"
"AMPL23K","American Plaice NAFO-23K","DFO-AMPL23K-1960-2012-WATSON","Unknown","Canada","Canada East Coast","Labrador - NE Newfoundland","Hippoglossoides platessoides","American plaice",20,1979,1998,"MT","E00","MT","MT","TC",NA,"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae",62.5789650345892,0.107111675628409,2558.34895069748,26.9517303990365,7.47805125626533,0.210817512287924,31.9300381515836,4.06539283679149,0.0126474304269085,0.111701670767594,3.32826672812327,0.629894726945358,0.605293609045484,-0.0137993323512743,0.793308663056381,0.141074438617618,0.0962296950808277,0.211765610571651,1.77338174853276,0.353388827254827,0.416683406687062,-0.42885992907171,4.88315170771378,0.906400626635889,0.793903811403907,0.401261264369162,"none","grey60","black"
"AMPL3LNO","American Plaice NAFO-3LNO","NAFO-SC-AMPL3LNO-1955-2007-BAUM","VPA","multinational","Canada East Coast","Grand Banks","Hippoglossoides platessoides","American plaice",43,1960,2002,"MT","E00","MT","MT","TL",5,"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae",62.5789650345892,0.107111675628409,2558.34895069748,26.9517303990365,7.47805125626533,0.210817512287924,31.9300381515836,10.3486280011881,0.0100732795241173,0.0442863209843078,1.62023830618227,0.208150587641595,0.508744159413872,0.104597654024209,0.23629788390711,0.0795849605530488,0.0552549788214561,0.149024139903545,1.15709445372433,0.0521640649576193,0.400444400923818,-0.187489660186739,2.0833821586402,0.36413711032557,0.617043917903926,0.396684968235157,"none","grey60","black"
"AMPL4T","American plaice Southern Gulf of St. Lawrence","DFO-AMPL4T-1965-2012-WATSON","VPA","Canada","Canada East Coast","Southern Gulf of St. Lawrence","Hippoglossoides platessoides","American plaice",32,1976,2007,"MT","E00",NA,"MT","TC",4,"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae",62.5789650345892,0.107111675628409,2558.34895069748,26.9517303990365,7.47805125626533,0.210817512287924,31.9300381515836,6.43562864199709,0.0277731393456761,0.0540763914462452,2.92522057310084,0.344921821038812,0.425680024181201,0.173016230809633,0.417423473489443,0.0879905638058155,0.0538565372682978,0.201506171314976,2.10707056506154,0.172460315979414,0.320121211135337,-0.221935864967719,3.74337058114015,0.517383326098211,0.531238837227065,0.567968326586985,"none","grey60","black"
"AMPL5YZ","American Plaice NAFO-5YZ","NEFSC-AMPL5YZ-1980-2014-SISIMP2016","VPA","USA","US East Coast","Gulf of Maine / Georges Bank","Hippoglossoides platessoides","American plaice",34,1980,2013,"MT","E00",NA,"MT","TL",1,"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae",62.5789650345892,0.107111675628409,2558.34895069748,26.9517303990365,7.47805125626533,0.210817512287924,31.9300381515836,9.87556779965726,0.0311169936501248,0.0582999731529448,2.93136797208093,0.444784240730673,0.404006470726143,-0.496347076838288,0.422753333318473,0.0710647252097453,0.0502612815388768,0.115928699359636,2.10277143877672,0.305497379319572,0.305494358909945,-0.723567327583174,3.75996450538514,0.584071102141773,0.502518582542342,-0.269126826093401,"negative","red","red"
"ANCHMEDGSA29","Anchovy Black Sea","STECF-ANCHMEDGSA29-1988-2014-OSIO","XSA","multinational","Mediterranean-Black Sea","Black Sea","Engraulis encrasicolus","Anchovy",27,1988,2014,"MT","E00",NA,"MT","TC",NA,"fish","Actinopterygii","Clupeiformes","Engraulidae",18.2078408527517,0.48448519812328,36.5596468918355,4.7532367952289,1.16282032017003,0.858747908570136,10.2242200340028,15.3480787583272,0.0548893387871559,0.0377584058061361,3.75164257080792,0.432960981319868,0.428529603819559,0.025554350066921,0.778280055555789,0.0929502902058209,0.0590120903935467,0.142947950180423,2.22621366191858,0.250778412516459,0.312865906648208,-0.254623632286708,5.27707147969727,0.615143550123277,0.544193300990911,0.30573233242055,"none","grey60","black"
"ANCHOSA","Anchovy South Africa","MARAM-ANCHOSA-1949-2015-deMoor","SCA","South Africa","South Africa","South Africa","Engraulis encrasicolus","Anchovy",31,1984,2014,"MT","E00","MT","MT","TC",NA,"fish","Actinopterygii","Clupeiformes","Engraulidae",18.2078408527517,0.48448519812328,36.5596468918355,4.7532367952289,1.16282032017003,0.858747908570136,10.2242200340028,20.2527018593453,0.0139622701270332,0.00982016363688896,1.5627946722977,0.279843784980693,0.690912498174976,0.109283922259229,0.408260138344519,0.128676459593837,0.0881608860114506,0.266615771061766,0.762604801142438,0.0276379241767723,0.518117161592533,-0.413282989021832,2.36298454345295,0.532049645784615,0.863707834757419,0.631850833540289,"none","grey60","black"
"APOLLPJPN","Walleye pollock Pacific Coast of Japan","FAFRFJ-APOLLPJPN-1975-2013-JPNIMP2016","Unknown","Japan","Russia Japan","Pacific Coast of Japan","Theragra chalcogramma","Walleye pollock",33,1981,2013,"MT","E00","MT","MT","TC",0,"fish","Actinopterygii","Gadiformes","Gadidae",64.1972130532834,0.256760882756684,1583.98853511185,11.359642388051,2.68566106435254,0.406954615049328,35.5722567835548,10.0557977380154,0.0297201323933268,0.0496441675206007,1.84449521700539,0.328242000736554,0.437862162263024,-0.0304963062773186,0.598421748395282,0.081696762334056,0.054393153498388,0.14375576277838,0.671588590150634,0.168116346561805,0.331251581406183,-0.312257601322943,3.01740184386014,0.488367654911304,0.544472743119864,0.251264988768306,"none","grey60","black"
