"stockid","stocklong","assessid","method","country","region","area","species","comm_name","nyr","yr1","yr2","ssb_units","r_units","tb_units","catch_units","catch_use","r_age_yr","type","class","order","family","linf_cm","k","winf_g","tmax_yr","tmat_yr","m","lmat_cm","sst_c_avg","sst_c_trend","sst_c_cv","alpha","beta","sigmaR","theta","alpha_se","beta_se","sigmaR_se","theta_se","alpha_lo","beta_lo","sigmaR_lo","theta_lo","alpha_hi","beta_hi","sigmaR_hi","theta_hi","theta_sig","lcolor","pcolor"
"ARFLOUNDBSAI","Arrowtooth flounder Bering Sea and Aleutian Islands","AFSC-ARFLOUNDBSAI-1976-2015-SISIMP2016","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Atheresthes stomias","Arrowtooth flounder",38,1976,2013,"MT","E00","MT","MT","TC",1,"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae",68.5489097441645,0.119846732300758,3650.77103261616,23.6760107532432,5.946775373065,0.176256804273318,34.1306404578802,5.06549001542623,-0.00249216184004972,0.0839318875800201,2.13318387494688,0.235226964733269,0.311396837555593,0.0208044805435101,0.264516388871655,0.0513123855401526,0.0360630857776038,0.11117085865256,1.61473175275843,0.13465468907457,0.240713189431489,-0.197090402415508,2.65163599713532,0.335799240391968,0.382080485679696,0.238699363502528,"none","grey60","black"
"ARFLOUNDGA","Arrowtooth flounder Gulf of Alaska","AFSC-ARFLOUNDGA-1961-2015-SISIMP2016","Unknown","USA","US Alaska","Gulf of Alaska","Atheresthes stomias","Arrowtooth flounder",54,1961,2014,"MT","E00","MT","MT","TC",1,"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae",68.5489097441645,0.119846732300758,3650.77103261616,23.6760107532432,5.946775373065,0.176256804273318,34.1306404578802,7.41254452943901,0.011789869324847,0.0671997190364092,3.05355346524991,0.356335488517603,0.328916659119808,-0.119352397405446,0.352842144525809,0.0508312614221667,0.0342327514667438,0.0966276348457168,2.36198286197933,0.256706216130156,0.261820466244991,-0.308742561703051,3.7451240685205,0.455964760905049,0.396012851994626,0.0700377668921588,"none","grey60","black"
"ARFLOUNDPCOAST","Arrowtooth flounder Pacific Coast","NWFSC-ARFLOUNDPCOAST-1914-2015-SISIMP2016","SS2","USA","US West Coast","Pacific Coast","Atheresthes stomias","Arrowtooth flounder",102,1914,2015,"MT","E00","MT","MT","TC",0,"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae",68.5489097441645,0.119846732300758,3650.77103261616,23.6760107532432,5.946775373065,0.176256804273318,34.1306404578802,13.2775271202042,0.00536638706555584,0.0319592160017669,1.95623709689532,0.348990803379761,0.883173642653556,-0.224814218922998,1.88950589878806,0.137904680988124,0.0962624474830377,0.218586682713776,-1.74719446472928,0.0786976286430373,0.694499245586802,-0.653244117041999,5.65966865851991,0.619283978116485,1.07184803972031,0.203615679196003,"none","grey60","black"
"ARGANCHONARG","Argentine anchoita Northern Argentina","INIDEP-ARGANCHONARG-1989-2016-PARMA","unknown","Argentina","South America","Northern Argentina","Engraulis anchoita","Argentine anchoita",26,1990,2015,"MT","E00","MT","MT","TC",1,"fish","Actinopterygii","Clupeiformes","Engraulidae",18.9950684429824,0.386506391433076,43.1404700235761,4.85056920951764,1.52433472220895,0.924896831606378,10.3575897340684,14.6903316517275,0.0330886551377089,0.0253248562382238,1.49126777843217,0.247717460890662,0.529027322176931,-0.0864154247004642,0.350776451833386,0.106083089553277,0.0738486441726595,0.202288824672299,0.803745932838731,0.039794605366239,0.384283979598518,-0.482901521058169,2.1787896240256,0.455640316415086,0.673770664755343,0.310070671657241,"none","grey60","black"
"ARGHAKENARG","Argentine hake Northern Argentina","INIDEP-ARGHAKENARG-1985-2014-PARMA","XSA","Argentina","South America","Northern Argentina","Merluccius hubbsi","Argentine hake",28,1986,2013,"MT","E00","MT","MT","TC",NA,"fish","Actinopterygii","Gadiformes","Merlucciidae",68.3555589329178,0.221322451046077,2486.57834310537,12.6590119801591,3.67631625241737,0.400870870075933,37.8955779208675,14.5671828526353,0.0312645078338531,0.0248918178703664,3.5451540035955,0.377681961939757,0.26595837188661,-0.296025953688498,0.336430016065743,0.0614659891994277,0.0363668693636867,0.153583174652665,2.88575117210664,0.257208623108879,0.194679307933784,-0.597048976007721,4.20455683508435,0.498155300770636,0.337237435839435,0.0049970686307243,"none","grey60","black"
"ARGHAKESARG","Argentine hake Southern Argentina","INIDEP-ARGHAKESARG-1986-2015-PARMA","XSA","Argentina","South America","Southern Argentina","Merluccius hubbsi","Argentine hake",24,1990,2013,"MT","E00","MT","MT","TC",NA,"fish","Actinopterygii","Gadiformes","Merlucciidae",68.3555589329178,0.221322451046077,2486.57834310537,12.6590119801591,3.67631625241737,0.400870870075933,37.8955779208675,8.92302599454683,-0.00656102119430773,0.0258602551991719,1.22982445025772,0.151060069573361,0.331855544787366,-0.246478321840044,0.402253131730795,0.070679101780622,0.048985753940109,0.21584036701719,0.44140831206536,0.0125290300833422,0.235843467064752,-0.669525441193736,2.01824058845008,0.289591109063381,0.42786762250998,0.176568797513648,"none","grey60","black"
"ATBTUNAEATL","Bluefin tuna Eastern Atlantic","ICCAT-ATBTUNAEATL-1951-2016-PONS","VPA","multinational","Atlantic Ocean","Eastern Atlantic","Thunnus thynnus","Atlantic bluefin tuna",45,1968,2012,"MT","E00",NA,"MT","TL",NA,"fish","Actinopterygii","Perciformes","Scombridae",351.105145078083,0.0979841406361893,660586.726369746,24.7213539250978,7.82127945934583,0.152336187713751,175.556413394898,11.2712844637533,0.0140476004810775,0.0179673071042951,3.14834679565162,0.497218746169303,0.430318092508383,0.75285993544815,0.707808904517954,0.0649026482789484,0.0506898167085283,0.250403574409121,1.76104134279643,0.370009555542564,0.330966051759668,0.262068929606274,4.53565224850681,0.624427936796042,0.529670133257099,1.24365094129003,"positive","blue","blue"
"ATBTUNAWATL","Bluefin tuna Western Atlantic","ICCAT-ATBTUNAWATL-1951-2016-PONS","VPA","multinational","Atlantic Ocean","Western Atlantic","Thunnus thynnus","Atlantic bluefin tuna",36,1974,2009,"MT","E00",NA,"MT","TL",NA,"fish","Actinopterygii","Perciformes","Scombridae",351.105145078083,0.0979841406361893,660586.726369746,24.7213539250978,7.82127945934583,0.152336187713751,175.556413394898,13.623996298029,0.0118801520886571,0.0105290852834241,3.55503408711389,0.267999302660666,0.236143902776527,-0.0134655415114515,0.349500763151718,0.0423437645417682,0.0279320707793405,0.211167278606371,2.87001259133653,0.185005524158801,0.181397044049019,-0.427353407579938,4.24005558289126,0.350993081162532,0.290890761504034,0.400422324557035,"none","grey60","black"
"ATHAL3NOPs4VWX5Zc","Atlantic halibut Scotian Shelf and Southern Grand Banks","DFO-ATHAL3NOPs4VWX5Zc-1970-2014-WATSON","Unknown","Canada","Canada East Coast","Scotian Shelf and Southern Grand Banks","Hippoglossus hippoglossus","Atlantic halibut",44,1970,2013,"MT","E00","MT","MT","TL",NA,"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae",204.497916488428,0.0653556464571464,144635.472636115,42.9334514856674,12.6849041902008,0.116466518502922,97.3357083552136,13.2186002381056,0.0254937185472928,0.0358874835038898,11.660746299265,0.988970438482488,0.81242816612724,-0.155201870464466,2.45123658232015,0.128461021394832,0.0871865876469111,0.200632784118118,6.85632259791755,0.737186836548616,0.641542454339294,-0.548442127335977,16.4651700006125,1.24075404041636,0.983313877915186,0.238038386407045,"none","grey60","black"
"ATKABSAI","Atka mackerel Bering Sea and Aleutian Islands","AFSC-ATKABSAI-1977-2015-SISIMP2016","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Pleurogrammus monopterygius","Atka mackerel",38,1977,2014,"MT","E00","MT","MT","TC",1,"fish","Actinopterygii","Scorpaeniformes","Hexagrammidae",45.4665862657319,0.433781217294873,571.82873879973,11.5144809928042,3.93400721376365,0.56520880957024,33.8079418909366,5.85084649378943,0.00130621000859386,0.0562815821011018,1.31784641292122,0.308335666654177,0.555668737197183,-0.143734856689326,0.502807731501467,0.0920853416691842,0.064174620545452,0.201375914258728,0.332343259178349,0.127848396982576,0.429886480928097,-0.538431648636432,2.3033495666641,0.488822936325778,0.681450993466269,0.25096193525778,"none","grey60","black"
"ATLCROAKMATLC","Atlantic croaker Mid-Atlantic Coast","ASMFC-ATLCROAKMATLC-1973-2002-STANTON","AD-CAM","USA","US East Coast","Mid-Atlantic Coast","Micropogonias undulatus","Atlantic croaker",30,1973,2002,"MT","E00",NA,"MT","TL",0,"fish","Actinopterygii","Perciformes","Sciaenidae",32.0508828189215,0.385868536830198,362.83820841107,6.25591775889864,1.66825943763086,0.821091727450257,16.1095768763344,17.6777631823189,8.47612797747853e-05,0.0181834025264543,2.06724678363029,0.445918085445752,0.816495536699333,0.370056813581726,0.697907376903786,0.152263014217101,0.110477554126453,0.260813135853345,0.699348324898873,0.147482577580234,0.599959530611486,-0.141136932690831,3.43514524236172,0.744353593311271,1.03303154278718,0.881250559854283,"none","grey60","black"
"AUSSALMONNZ","Australian salmon New Zealand","NIWA-AUSSALMONNZ-1929-2013-FU","CASAL","New Zealand","New Zealand","New Zealand","Arripis trutta","Australian salmon",84,1929,2012,"MT","E00","MT","MT","TC",NA,"fish","Actinopterygii","Perciformes","Arripidae",29.1994208857869,0.353658640284217,215.636531261766,11.2363992372699,2.94500987973301,0.60432175718227,18.5621599142342,18.7665156067522,0.0210557388980871,0.0224566243272527,2.82222480537272,0.245590722832201,0.25797887469487,0.115640825800856,1.03670557831105,0.0496763874146704,0.0337540221052475,0.109605730510993,0.790281871883063,0.148225003499447,0.191820991368585,-0.0991864060006903,4.85416773886238,0.342956442164955,0.324136758021155,0.330468057602402,"none","grey60","black"
"BIGEYECWPAC","Bigeye tuna Central Western Pacific","SPC-BIGEYECWPAC-1950-2015-PONS","MULTIFAN-CL","multinational","Pacific Ocean","Central Western Pacific Ocean","Thunnus obesus","Bigeye tuna",52,1952,2003,"MT","E00","MT","MT","TL",NA,"fish","Actinopterygii","Perciformes","Scombridae",200.905020335261,0.188156091541074,90654.4214412388,12.6444860937059,4.06656175872376,0.327124601839471,99.5200622023409,24.6979016180803,0.00639357421761093,0.00627411247840009,2.45235808248533,0.321185163865317,0.309766336620718,0.542284936081437,0.380936611450081,0.044680932092921,0.0317006351797309,0.219107213652978,1.70572232404317,0.233610536963192,0.247633091668445,0.1128347973216,3.19899384092749,0.408759790767442,0.37189958157299,0.971735074841274,"positive","blue","blue"
"BIGEYEEPAC","Bigeye tuna Eastern Pacific","IATTC-BIGEYEEPAC-1954-2016-PONS","Unknown","multinational","Pacific Ocean","Eastern Pacific","Thunnus obesus","Bigeye tuna",42,1975,2016,"MT","E00",NA,"MT","TL",NA,"fish","Actinopterygii","Perciformes","Scombridae",200.905020335261,0.188156091541074,90654.4214412388,12.6444860937059,4.06656175872376,0.327124601839471,99.5200622023409,21.1107259003246,0.0105999455238912,0.013215605505258,5.08003929666797,0.496240862791889,0.24819313616128,0.30813533598847,0.630146365779553,0.040095968056929,0.0274562657361766,0.130325246134796,3.84495241974005,0.417652765400308,0.194378855318374,0.0526978535642705,6.31512617359589,0.57482896018347,0.302007417004187,0.563572818412669,"positive","blue","blue"
"BIGEYEIO","Bigeye tuna Indian Ocean","IOTC-BIGEYEIO-1950-2014-PONS","SS3","multinational","Indian Ocean","Indian Ocean","Thunnus obesus","Bigeye tuna",60,1952,2011,"MT","E00",NA,"MT","TC",NA,"fish","Actinopterygii","Perciformes","Scombridae",200.905020335261,0.188156091541074,90654.4214412388,12.6444860937059,4.06656175872376,0.327124601839471,99.5200622023409,25.7265284909526,0.0146933104627923,0.00914086570832011,2.32233467907273,0.311965870659701,0.308277872851541,-0.0105080191972708,0.380382897743633,0.0550818761393873,0.0330313238020789,0.191728571169416,1.57678419949521,0.204005393426502,0.243536478199467,-0.386296018689327,3.06788515865025,0.4199263478929,0.373019267503616,0.365279980294785,"none","grey60","black"
"BIGHTREDSE","Bight redfish Southeast Australia","CSIRO-BIGHTREDSE-1960-2014-MOESENEDER","SS3","Australia","Australia","Southeast Australia","Centroberyx gerrardi","Bight redfish",55,1960,2014,"MT","E00","MT","MT","TL",NA,"fish","Actinopterygii","Beryciformes","Berycidae",30.0096252642524,0.231372841838781,350.842701216519,9.64748121010863,3.37841838975427,0.51478517083471,17.4512225530556,16.862320829651,0.0114578411916614,0.016854229198246,2.79994954468173,0.220723736828911,0.210315760968898,-0.0528145681369751,0.554997898693879,0.0354753007624576,0.0202003508281915,0.117703679504825,1.71215366324172,0.151192147334494,0.170723073345643,-0.283513779966432,3.88774542612173,0.290255326323328,0.249908448592153,0.177884643692482,"none","grey60","black"
"BLACKGROUPERGMSATL","Black Grouper Gulf of Mexico and South Atlantic","SEFSC-BLACKGROUPERGMSATL-1986-2008-THORSON","ASAP","USA","US Southeast and Gulf","Gulf of Mexico and South Atlantic","Mycteroperca bonaci","Black grouper",23,1986,2008,"MT","E00",NA,"MT","TC",1,"fish","Actinopterygii","Perciformes","Serranidae",125.718786094566,0.125599705650434,28166.9660407197,28.6654598084725,9.67624257985243,0.227923466123613,71.7415284540747,24.377337499537,0.00602114717945544,0.00863892853099614,8.65843823167861,0.390268121076502,0.0852278632665033,0.0772574755088828,0.517856834805924,0.0185304016903723,0.0128054130347411,0.0842448240418602,7.643438835459,0.353948533763372,0.0601292537184108,-0.0878623796131632,9.67343762789822,0.426587708389632,0.110326472814596,0.242377330630929,"none","grey60","black"
"BLUEFISHATLC","Bluefish Atlantic Coast","NEFSC-BLUEFISHATLC-1985-2014-SISIMP2016","ASAP","USA","US East Coast","Atlantic Coast","Pomatomus saltatrix","Bluefish",30,1985,2014,"MT","E00","MT","MT","TC",0,"fish","Actinopterygii","Perciformes","Pomatomidae",99.8537955516183,0.185448659582066,9538.00162994097,9.6392967700102,2.6779024375532,0.378864828443736,42.6989858778237,21.850111350794,0.00836240394532286,0.0106436453906365,1.79418752244941,0.173407522084651,0.268409198052429,0.0578079081348006,0.338017991539847,0.0519680914895454,0.0349085322060282,0.178692755285287,1.13167225903131,0.071550062765142,0.199988474928614,-0.292429892224362,2.45670278586751,0.27526498140416,0.336829921176244,0.408045708493963,"none","grey60","black"
"BMACKECS","Spotted mackerel East China Sea","FAFRFJ-BMACKECS-1992-2013-JPNIMP2016","Unknown","Japan","Russia Japan","East China Sea","Scomber australasicus","Spotted mackerel",22,1992,2013,"MT","E00","MT","MT","TC",0,"fish","Actinopterygii","Perciformes","Scombridae",39.33812431554,0.378616370922957,702.021056795293,7.96903005643873,2.18195234834117,0.569169493816239,23.1887232629687,21.4095063046659,0.00416807621888253,0.0128185013341479,1.4103832487874,0.15123327692836,0.311902822320584,0.170844058432213,0.378445762499067,0.0696118868947104,0.0477363218671096,0.193153610149129,0.668629554289229,0.014793978614728,0.218339631461049,-0.20773701746008,2.15213694328557,0.287672575241993,0.405466013180119,0.549425134324506,"none","grey60","black"
"BMARLINPAC","Blue marlin Pacific Ocean","ISC-BMARLINPAC-1952-2011-PONS","SS3","Multinational","Pacific Ocean","Pacific Ocean","Makaira nigricans","Blue marlin",41,1971,2011,"MT","E00",NA,"MT","TC",NA,"fish","Actinopterygii","Perciformes","Istiophoridae",430.897759757448,0.280475633345384,429656.875789835,16.8466629348774,3.85296899736425,0.328342363534166,202.378663350328,21.789105293072,0.0124251571582648,0.00815953172743023,5.09713246841181,0.308027597235557,0.163593234336166,0.259875434006493,0.656580337148995,0.0387734553285016,0.0183847743833116,0.195559959914919,3.81023500759978,0.232031624791694,0.127559076544875,-0.12342208742675,6.38402992922384,0.38402356967942,0.199627392127457,0.643172955439735,"none","grey60","black"
"BRMSOJ","Yellow sea bream Sea of Japan","FAFRFJ-BRMSOJ-1980-2013-JPNIMP2016","Unknown","Japan","Russia Japan","Sea of Japan","Dentex tumifrons","Yellow sea bream",31,1980,2010,"MT","E00","MT","MT","TC",0,"fish","Actinopterygii","Perciformes","Sparidae",46.7764053421366,0.211800923375294,1667.86638953271,11.4871675573401,2.85987775239843,0.456520354909902,22.3292157802399,14.1954779535651,0.0384980473888873,0.0356902616701788,1.33894709444169,0.123831563948303,0.280656175419788,-0.100150122348906,0.184442479321417,0.0594546104012995,0.0361270112888305,0.110661447036124,0.977439834971713,0.00730052756175602,0.20984723329368,-0.317046558539708,1.70045435391167,0.24036260033485,0.351465117545896,0.116746313841896,"none","grey60","black"
"BRNSHRIMPGM","Brown shrimp Gulf of Mexico","SEFSC-BRNSHRIMPGM-1984-2014-SISIMP2016","SS3","USA","US Southeast and Gulf","Gulf of Mexico","Farfantepenaeus aztecus","Brown shrimp",31,1984,2014,"MT","E00",NA,"MT","TC",0,"invert","Malacostraca","Decapoda","Penaeidae",NA,NA,NA,NA,NA,NA,NA,24.2210864952388,0.0149485751719453,0.0118783501701742,3.84492757565095,0.314525908253779,0.170206420695219,0.066067002129462,0.231429771649528,0.0321652484008706,0.0218928087345023,0.104570594721666,3.39132522321788,0.251482021388073,0.127296515575595,-0.138891363525004,4.29852992808403,0.377569795119486,0.213116325814844,0.271025367783928,"none","grey60","black"
"BSBASSMATLC","Black sea bass Mid-Atlantic Coast","NEFSC-BSBASSMATLC-1968-2011-SISIMP2016","SCALE","USA","US East Coast","Mid-Atlantic Coast","Centropristis striata","Black sea bass",44,1968,2011,"MT","E00","MT","MT","TC",0,"fish","Actinopterygii","Perciformes","Serranidae",32.4305394308244,0.312475110272788,140.066996550983,7.57137087820431,2.51470799046414,0.584189845843711,17.701501570918,15.3803615091987,0.0132469251551365,0.0232731388971965,2.62608871647661,0.413549843723106,0.324379223596499,0.055371576450462,0.405081614114142,0.0498011389384935,0.0348448929865745,0.125210223510815,1.83212875281289,0.315939611403659,0.256083233342813,-0.190040461630735,3.42004868014033,0.511160076042554,0.392675213850185,0.300783614531659,"none","grey60","black"
"BUTTERGOMCHATT","Atlantic butterfish Gulf of Maine / Cape Hatteras","NEFSC-BUTTERGOMCHATT-1965-2012-HIVELY","ASAP","USA","US East Coast","Gulf of Maine / Cape Hatteras","Peprilus triacanthus","Atlantic butterfish",24,1989,2012,"MT","E00",NA,"MT","TC",0,"fish","Actinopterygii","Perciformes","Stromateidae",22.7582876283253,0.758583990004279,142.923935570985,5.62507526192007,1.28884692877307,1.03407893184109,14.3172466548004,14.1964051904364,0.0423879085031185,0.0365874499751976,1.19109591080516,0.135094250121587,0.336188855292825,-0.259679453390238,0.497425374416133,0.0702189905575804,0.0495395825528919,0.123267241544748,0.216142176949542,-0.00253497137127076,0.239091273489157,-0.501283246817944,2.16604964466079,0.272723471614445,0.433286437096494,-0.018075659962532,"negative","red","red"
"BWHITNEA","Blue Whiting Northeast Atlantic","WGWIDE-BWHITNEA-1980-2015-ICESIMP2016","Unknown","multinational","European Union","Northeast Atlantic","Micromesistius poutassou","Blue whiting",34,1981,2014,"MT","E00","MT","MT","TC",1,"fish","Actinopterygii","Gadiformes","Gadidae",35.8706979312847,0.282689189616698,350.968671398329,12.056870363655,3.03664590454871,0.41375542251684,23.4381413288622,3.84074545157105,0.0245202703472538,0.0676301925728897,1.27063238271297,0.294614391573061,0.745071888371496,0.00553518914217987,0.413859146426516,0.135402338403579,0.0904344057498611,0.25830203780938,0.459468455717002,0.0292258083020458,0.567820453101768,-0.500736804964205,2.08179630970894,0.560002974844075,0.922323323641223,0.511807183248565,"none","grey60","black"
