"stockid","stockid_ramldb","common_name","species","species_orig","order","family","family_common","type","type1","country","region","area","source","comments","method","ssb_units","r_units","landings_units","f_age_vpa","r_age_vpa","r_age_vpa1","feed_type","egg_type","egg_diam","length_at_hatch","length_at_metamorph","deltaL","deltaN","spawn_location","spawn_lat_dm","spawn_long_dm","spawn_month","natmort","f01","fmax","fmed","sprf0","source_mat","lmat","lmat_m","lmat_f","tmat","tmat_m","tmat_f","r_length","r_age","r_age_m","r_age_f","source_growth","linf_in","k","t0","linf_in_m","k_m","t0_m","linf_in_f","k_f","t0_f","source_lw_ab","lw_a","lw_b","lw_a_m","lw_b_m","lw_a_f","lw_b_f","ssb_nyr","r_nyr","sr_nyr"
"AMPL5YZ","AMPL5YZ","American plaice","Hippoglossoides platessoides","Hippoglossoides platessoides","Pleuronectiformes","Pleuronectidae","Pleuronectidae","marine","finfish","Canada","Canada East Coast","NAFO 5YZ","Anon. 1992. Report of the Fourteenth Northeast Regional Stock Assessment Workshop (14{\it th} SAW). Northeast Fisheries Science Center Reference Document 92-07.","SPA, 6 year olds in (000's)","SPA","Thousand tonnes","Millions",NA,NA,"1",1,"Demersal","Oviparous, pelagic","2.15","5","25","20","9.3","Shelf","41 10","-68 40",NA,NA,"0.17","0.28",NA,NA,"O'Brien et al. 1992. Maturation of nineteen species of finfish off the northeast coast of the United States, 1985-1990.",NA,NA,NA,"3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,11
"AMPLGREEN",NA,"American plaice","Hippoglossoides platessoides","Hippoglossoides platessoides","Pleuronectiformes","Pleuronectidae","Pleuronectidae","marine","finfish","Europe","Greenland","West Greenland","Lloret, J. 1996. Population dynamics of American Plaice ({\em Hippoglossoides platessoides}) off West Greenland. NAFO SCR Doc. 96:5 24 p.","RV data, the recruits are not absolute numbers because the selectivity of young fish is certainly not 1, as assumed in the analysis.","RV","Tonnes","Thousands",NA,"6-11","3",3,"Demersal","Oviparous, pelagic","2.15","5","25","20","9.3","Shelf","61 30","-50 00",NA,"0.2","0.227","0.427",NA,NA,"Lloret, J. 1996. Population dynamics of American Plaice ({\em Hippoglossoides platessoides}) off West Greenland. NAFO SCR Doc. 96:5 24 p.",NA,"22-23","26","8","4.5","8",NA,NA,NA,NA,"Lloret, J. 1996. Population dynamics of American Plaice ({\em Hippoglossoides platessoides}) off West Greenland. NAFO SCR Doc. 96:5 24 p.","72.52 cm","0.049","-0.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10
"ANCHOBAJA",NA,"Northern anchovy","Engraulis mordax","Engraulis mordax","Clupeiformes","Engraulidae","Anchovies","marine","finfish","Mexico","Mexico West Coast","Soledad Basin, Baja California","Soutar, A., and J.D. Issacs.  1974.  Abundance of pelagic fish during the 19th and 20th centuries as recorded in anaerobic sediment off the Californias.  Fish. Bull. U.S. 72:  257-273.","5 year averages from fossil scale data.","fossil scales","scales per 1000 cm^2",NA,NA,NA,NA,NA,"Epi-, and mesopelagic 0-300m","Oviparous, pelagic","1.23-1.55 x 0.6-0.8","2.5-3.0 SL",NA,NA,NA,NA,"25 15","-112 60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,0,0
"ANCHOBAYB","ANCHOBAYB","Anchovy","Engraulis encrasicolus","Engraulis encrasicolus","Clupeiformes","Engraulidae","Anchovies","marine","finfish","Europe","Europe","Bay of Biscay","Santiago, J., and A. Sanz. 1989. Egg production of the Bay of Biscay anchovy in 1987 and 1988, and spaning stock size estimates. ICES Doc. C.M. 1989/H: 25, Ref. L.; Uriarte, A., and A. Adtudillo. 1987. The anchovy in the Bay of Biscay : new data and analysis of the fishery 1974-1987. ICES Doc. C.M. 1987/H: 20.; Anon. 1991. Working Group on the Assessment of the Stocks of Sardine, Horse Mackerel, Anchovy. ICES Doc. C.M. 1991/Assess: 22.",NA,"SHOT method","Tonnes","Actual numbers","Tonnes",NA,"0",0,"Epi- & mesopelagic 0- 300m","Oviparous, pelagic",NA,NA,NA,NA,NA,"Continental shelf, coastal","45 30","-3 00","4-7","0.8",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,16,3
"ANCHOBAYB2","ANCHOBAYB","Anchovy","Engraulis encrasicolus","Engraulis encrasicolus","Clupeiformes","Engraulidae","Anchovies","marine","finfish","Europe","Europe","Bay of Biscay","Anon. 1996. Working Group on the Assessment of the Stocks of Sardine, Horse Mackerel, Anchovy. ICES Doc. C.M. 1996/Assess: 7.",NA,"Separable VPA","Tonnes","Billions","Tonnes","1-3","0",0,"Epi- & mesopelagic 0- 300m","Oviparous, pelagic",NA,NA,NA,NA,NA,"Continental shelf, coastal","45 30","-3 00","4-7","1.2",NA,NA,NA,"0.0087",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8
"ANCHOBLACK","ANCHMEDGSA29","Anchovy","Engraulis encrasicolus","Engraulis encrasicolus","Clupeiformes","Engraulidae","Anchovies","marine","finfish","Europe","Europe","Black Sea","Prodanov, K.; Mikhailov,K.; Daskalov, G.; Maxim, C.; Cashchin, A.; Shlyakhov, V.; Ozdamar, E.  Environmental management of fish resources in the Black Sea and their rational exploitation.  Studies and Reviews. General Fisheries Council for the Mediterranean.  No.68. Rome, FAO. 1997. pp 39-52",NA,"SPA","Thousand tonnes","Billions","Tonnes","1-4","0",0,NA,NA,NA,NA,NA,NA,NA,NA,"43 00","35 00",NA,"0.82",NA,NA,NA,"0.017",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,27,27
"ANCHOCAL",NA,"Northern anchovy","Engraulis mordax","Engraulis mordax","Clupeiformes","Engraulidae","Anchovies","marine","finfish","USA","US West Coast","California","Lo, N. C. H., and R. D. Methot. 1989. CALCOFI Rep. 30.; Lo, N. C. H., and R. D. Methot. 1990. CalCOFI Rep. 31.; MacCall, A. D. 1980. Rap. P. -v. Reun. Cons. int. Explor. Mer. 177:292-306.","Rec as of July 1st of indicated year,SSB units are for 64-88","Stock Synthesis","Thousand tonnes","50 billions","Short tons",NA,"0",0,"Epi-, and mesopelagic 0-300m","Oviparous, pelagic","1.23-1.55 x 0.6-0.8","2.5-3.0 SL",NA,NA,NA,NA,"34 00","-121 00","4-8","0.6",NA,NA,NA,"0.015","Ware, D.M. & McFarlane, G.A. 1989. Fisheries production domains in the Northeast Pacific Ocean, p. 359-379.  In  R.J. Beamish and G.A. McFarlane [ed.], Effects of ocean variability on recruitment and an evaluation of parameters used in stock assessment models.  Can. Spec. Publ. Fish. Aquat. Sci. 108",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"Ware, D.M. & McFarlane, G.A. 1989. Fisheries production domains in the Northeast Pacific Ocean, p. 359-379.  In  R.J. Beamish and G.A. McFarlane [ed.], Effects of ocean variability on recruitment and an evaluation of parameters used in stock assessment models.  Can. Spec. Publ. Fish. Aquat. Sci. 108","21 cm","0.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,25,25
"ANCHOCAL2",NA,"Northern anchovy","Engraulis mordax","Engraulis mordax","Clupeiformes","Engraulidae","Anchovies","marine","finfish","USA","US West Coast","California","Baumgartner, T.R., A. Soutar, and V. Ferriera-Bartrina.  1992.  Reconstruction of the history of Pacific sardine and northern anchovy populations over the past two millennia from sediments of the Santa Barbara Basin, California.  Calif. Coop. Oceanic. Fish. Invest. Rep. 33: 24-40.","10 year averages from fossil scale data.","fossil scales","scales per 1000 cm^2",NA,NA,NA,NA,NA,"Epi-, and mesopelagic 0-300m","Oviparous, pelagic","1.23-1.55 x 0.6-0.8","2.5-3.0 SL",NA,NA,NA,NA,"34 15","-120 03","4-8","0.6",NA,NA,NA,"0.015","Ware, D.M. & McFarlane, G.A. 1989. Fisheries production domains in the Northeast Pacific Ocean, p. 359-379.  In  R.J. Beamish and G.A. McFarlane [ed.], Effects of ocean variability on recruitment and an evaluation of parameters used in stock assessment models.  Can. Spec. Publ. Fish. Aquat. Sci. 108",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"Ware, D.M. & McFarlane, G.A. 1989. Fisheries production domains in the Northeast Pacific Ocean, p. 359-379.  In  R.J. Beamish and G.A. McFarlane [ed.], Effects of ocean variability on recruitment and an evaluation of parameters used in stock assessment models.  Can. Spec. Publ. Fish. Aquat. Sci. 108","21 cm","0.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,0,0
"ANCHOCAL3",NA,"Northern anchovy","Engraulis mordax","Engraulis mordax","Clupeiformes","Engraulidae","Anchovies","marine","finfish","USA","US West Coast","California","Smith, P. E. 1978. Biologicval effects of ocean variability: time and space scales of biological response. Rapp. P.V. Reun. Cons. Int. Explor. Mer. 173: 117-127. recaculated from Soutar, A., and J.D. Issacs.  1974.  Abundance of pelagic fish during the 19th and 20th centuries as recorded in anaerobic sediment off the Californias.  Fish. Bull. U.S. 72:  257-273.","5 year averages from fossil scale data. SSB is in standing stock, not spawners","fossil scales","Thousand tonnes",NA,NA,NA,NA,NA,"Epi-, and mesopelagic 0-300m","Oviparous, pelagic","1.23-1.55 x 0.6-0.8","2.5-3.0 SL",NA,NA,NA,NA,"34 15","-120 03","4-8","0.6",NA,NA,NA,"0.015","Ware, D.M. & McFarlane, G.A. 1989. Fisheries production domains in the Northeast Pacific Ocean, p. 359-379.  In  R.J. Beamish and G.A. McFarlane [ed.], Effects of ocean variability on recruitment and an evaluation of parameters used in stock assessment models.  Can. Spec. Publ. Fish. Aquat. Sci. 108",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"Ware, D.M. & McFarlane, G.A. 1989. Fisheries production domains in the Northeast Pacific Ocean, p. 359-379.  In  R.J. Beamish and G.A. McFarlane [ed.], Effects of ocean variability on recruitment and an evaluation of parameters used in stock assessment models.  Can. Spec. Publ. Fish. Aquat. Sci. 108","21 cm","0.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,0,0
"ANCHOGCAL",NA,"Northern anchovy","Engraulis mordax","Engraulis mordax","Clupeiformes","Engraulidae","Anchovies","marine","finfish","Mexico","Mexico West Coast","Gulf of California","Holmgren-Urba, D., and T.R. Baumgartner.  1993.  A 250-year history of pelagic fish abundances from the anaerobic sediments of the Central Gulf of ÉCalifornia.  CalCOFI Rep. 34:  60-68.","10 year averages from fossil scale data.","fossil scales","scales per 1000 cm^2",NA,NA,NA,NA,NA,"Epi-, and mesopelagic 0-300m","Oviparous, pelagic","1.23-1.55 x 0.6-0.8","2.5-3.0 SL",NA,NA,NA,NA,"27 54","-111 31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,0
"ARGEN4VWX",NA,"Atlantic argentine","Argentina silus","Argentina silus","Salmoniformes","Argentinidae","Argentines","marine","finfish","Canada","Canada East Coast","NAFO 4VWX","Dale, C. E., and R. G. Halliday. 1987. Stock status of Atlantic argentine in div. 4VWX. CAFSAC Res. Doc. 87/19: 11 p.; update by Halliday; Anon. 1990. Advice on the management of groundfish stocks. CAFSAC Res. Doc. 90/5.","RV(2), index * 1000","RV",NA,NA,"Thousand tonnes",NA,NA,NA,"Demersal","Oviparous, pelagic","3.0-3.5","6.0-9.0","NA","NA","NA",NA,"44 10","-59 00",NA,NA,NA,NA,NA,NA,"Emery, A.R. & McCraken, F.D. 1966. Biology of the Atlantic argentine (Argentina silus Ascanius) on the Scotian Shelf. J. Fish. Res. Bd. Canada, 23: 1145-1160.",NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17,0
"ASALBBR",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Biscay Bay River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1995. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 12, page 40.","Counting Fence","Number of small salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46 45","-53 42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,0
"ASALBBRLRG",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Biscay Bay River, Nfld, CA","M.F. OConnell, J.B. Dempson, C.C. Mullins and D.G. Reddin. 1996. Status of atlantic salmon (Salmo salar L.) stocks of the Newfoundland region.  DFO Atlantic Fisheries Research Document. 96/108","taken from table 13.","Counting Fence","Number of large salmon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46 45","-53 42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0,0
"ASALBEC",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Canada","Canada East Coast","Bec-Scie, Canada","Caron, F. 1992. Relation entre le nombre d'oeufs d\'{e}pos\'{e}s et la production de saumonneaux dans les Rivi\`{e}res de la Trinit\'{e} et Bec-Scie. CAFSAC Res. Doc. 92/125: 23 p.",NA,"Count","Number of Eggs","Number of Smolt",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"49 40","-64 45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,5,5
"ASALBUS1",NA,"Atlantic salmon","Salmo salar","Salmo salar","Salmoniformes","Salmonidae","Trouts and salmons","anadromous","finfish","Europe","Ireland","River Bush, Northern Ireland","Crozier, W.W. and G.J.A. Kennedy. 1995. The relationship between a summer fry (0+) abundance index, derived from semi-quantitative electrofishing, and egg deposition of Atlantic salmon, in the River Bush, Northern Ireland. Journal of Fish Biology 47:1055-1062.   Data tables provided by W.W. Crozier, Agriculture and Food Science Centre, Belfast.",NA,"Count / electrofishing","Millions of eggs","Index of fry",NA,NA,"0+",0,NA,NA,NA,NA,NA,NA,NA,NA,"55 08","-6 30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12
