"stockid","stockid_ramldb","common_name","species","species_orig","order","family","family_common","type","type1","country","region","area","source","comments","method","ssb_units","r_units","landings_units","f_age_vpa","r_age_vpa","r_age_vpa1","feed_type","egg_type","egg_diam","length_at_hatch","length_at_metamorph","deltaL","deltaN","spawn_location","spawn_lat_dm","spawn_long_dm","spawn_month","natmort","f01","fmax","fmed","sprf0","source_mat","lmat","lmat_m","lmat_f","tmat","tmat_m","tmat_f","r_length","r_age","r_age_m","r_age_f","source_growth","linf_in","k","t0","linf_in_m","k_m","t0_m","linf_in_f","k_f","t0_f","source_lw_ab","lw_a","lw_b","lw_a_m","lw_b_m","lw_a_f","lw_b_f","ssb_nyr","r_nyr","sr_nyr"
"ABALSAUS",NA,"Abalone","Haliotis laevigata","Haliotis laevigata","Archaeogastropoda","Haliotidae","Abalones","marine","shellfish","Oceania","Australia","South Australia","S.A Shepherd, and L.D. Brown.  1993.  What is an abalone stock: implications for the role of refugia in conservation.  Can. J. Fish. Aquat. Sci., Vol.50:2001-2009",NA,"Counts by scuba divers","Number per hundred metre square","Index",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"-34 30","135 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,22,3
"ALBASPAC","ALBASPAC","Albacore tuna","Thunnus alalunga","Thunnus alalunga","Perciformes","Scombridae","Mackerels and tunas","marine","finfish","Pacific Ocean","Pacific Ocean","South Pacific Ocean","Tenth standing committee on tuna and billfish, 16-18 June 1997, Nadi, Fiji. Status of tuna stocks in the western and central Pacific ocean. Working paper 3. South Pacific Commission.","SSB is for large fish.","SPA","Index","Index","Thousand tonnes",NA,"3",3,NA,NA,NA,NA,NA,NA,NA,"Subtropical waters of the north and south Pacific","-17 00","-150 00","Summer months",NA,NA,NA,NA,NA,NA,"80cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,29
"ALEWANN",NA,"Anadromous alewife","Alosa pseudoharengus","Alosa pseudoharengus","Clupeiformes","Clupeidae","Herrings","anadromous","finfish","USA","US East Coast","Annaquatucket River, USA","Crecco, V.A. and M. Gibson. 1990. Stock assessment of river herring from selected Atlantic Coast Rivers. Special Report No. 19. of the Atlantic States Marine Fisheries Commission.",NA,"Count","Thousand pounds","Thousands",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"41 55","-71 26",NA,"1.0",NA,NA,NA,"0.33",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45,45
"ALEWDAM",NA,"Anadromous alewife","Alosa pseudoharengus","Alosa pseudoharengus","Clupeiformes","Clupeidae","Herrings","anadromous","finfish","USA","US Maine","Damariscotta Lake, Maine","Walton, C. J. 1987. Parent-progeny relationship for established population of anadromous alewives in a Maine lake. Am. Fish. Soc. Symp. 1: 451-454.","SP: Anadromous alewives. REC is juvenile emigrants.","Count","Billions of eggs","Thousands of fish",NA,NA,"0.3",0.3,NA,NA,NA,NA,NA,NA,NA,NA,"44 10","-69 27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8
"ALEWDAMR",NA,"Anadromous alewife","Alosa pseudoharengus","Alosa pseudoharengus","Clupeiformes","Clupeidae","Herrings","anadromous","finfish","USA","US East Coast","Damariscotta River","Crecco, V.A., and M. Gibson. 1990. Stock assessment of river herring from selected Atlantic coast rivers. Special Report No. 19 of the Atlantic States Marine Fisheries Commission.",NA,"Count","Thousands of lbs.","Thousands",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"44 03","-69 31",NA,"1.0",NA,NA,NA,".33",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,35
"ALEWLAM",NA,"Anadromous alewife","Alosa pseudoharengus","Alosa pseudoharengus","Clupeiformes","Clupeidae","Herrings","anadromous","finfish","USA","US East Coast","Lamprey River","Crecco, V.A., and M. Gibson. 1990. Stock assessment of river herring from selected Atlantic coast rivers. Special Report No. 19 of the Atlantic States Marine Fisheries Commission.",NA,"Count","Thousands of lbs.","Thousands",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"42 05","-71 00",NA,"1.0",NA,NA,NA,".33",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14
"ALEWLONG",NA,"Anadromous alewife","Alosa pseudoharengus","Alosa pseudoharengus","Clupeiformes","Clupeidae","Herrings","freshwater","finfish","USA","US Massachusetts","Long Pond, MA, USA","Havey, K. A. 1961. Resoration of anadromous alewives at Long Pond, Maine. Trans. Am. Fish. Soc. 90:281-286",NA,"Count","Thousands","Thousands",NA,NA,"4",4,NA,NA,NA,NA,NA,NA,NA,NA,"44 29","-68 18",NA,"1.0",NA,NA,NA,"1.581977",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6
"ALEWONT",NA,"Freshwater alewife","Alosa pseudoharengus","Alosa pseudoharengus","Clupeiformes","Clupeidae","Herrings","freshwater","finfish","USA","Laurentian Great Lakes","Lake Ontario","O'Gorman, R., R. A. Bergstedt, and T. H. Eckert. 1987. Prey fish dynamics and salmonine predator growth in Lake Ontario, 1978-84. Can. J. Fish. Aquat. Sci. 44(suppl. 2): 390-403.",NA,"RV","Millions","Millions",NA,NA,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,"43 30","-78 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,7
"ALEWSTJON",NA,"Anadromous alewife","Alosa pseudoharengus","Alosa pseudoharengus","Clupeiformes","Clupeidae","Herrings","anadromous","finfish","USA","US East Coast","Saint John River","Jessop, B. M. 1990. Stock-recruitment relationships of alewives and blueback herring returning to the Mactaquac Dam, Saint John River, New Brunswick. North American Journal of Fisheries Management 10: 19-32.","return to Mactaquac Dam on the Saint John River","Count","Thousands","Thousands",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"45 55","-66 52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,16,16
"ALEWSTJON2",NA,"Anadromous alewife","Alosa pseudoharengus","Alosa pseudoharengus","Clupeiformes","Clupeidae","Herrings","anadromous","finfish","USA","US East Coast","Saint John River","Crecco, V.A., and M. Gibson. 1990. Stock assessment of river herring from selected Atlantic coast rivers. Special Report No. 19 of the Atlantic States Marine Fisheries Commission.","return to Mactaquac Dam on the Saint John River","Count","Thousands of lbs.","Thousands",NA,NA,"3",3,NA,NA,NA,NA,NA,NA,NA,NA,"45 55","-66 52",NA,"1.0",NA,NA,NA,"0.33",NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,15
"ALPLAKAM",NA,"Alaska plaice","Pleuronectes quadrituberculatus","Pleuronectes auadrituberculatus","Pleuronectiformes","Pleuronectidae","Pleuronectidae","marine","finfish","Russia","Kamchatka","West Kamchatka Shelf","Dyakov, Yu. P. 1995. Reprocution of some flounder species from the West Kamchatka Shelf. page 17-33. In Proceeding fo the Intnational Symposium on  North Pacific Flatfish. Alaska Sea Grant College Program. AK-SG-95-04.",NA,"SPA","Million eggs","Millions",NA,NA,"4",4,"Epi-, meso-, & bathybenthal 10-600m","Oviparous, pelagic",NA,NA,NA,NA,NA,NA,"55 00","155 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,19
"AMPL3LNO","AMPL3LNO","American plaice","Hippoglossoides platessoides","Hippoglossoides platessoides","Pleuronectiformes","Pleuronectidae","Pleuronectidae","marine","finfish","Canada","Canada East Coast","NAFO 3LNO","Brodie, W.B., W. R. Bowering, and J. W. Baird. 1990. An assessment of the American plaice stocks in division 3LNO. NAFO SCR Doc. 90/80: 32 p.","SPA, 6 year olds in (000's)","SPA","Tonnes","Thousands","Tonnes","6-15","6",6,"Demersal","Oviparous, pelagic","2.15","5","25","20","9.3","Shelf","44 30","-50 30","4-6",NA,NA,NA,NA,NA,"Scott, W. B. and  M. G. Scott. 1988. Atlantic fishes of Canada. Can. Bull. Fish. Aquat. Sci. 219.",NA,"22-23","< 30",NA,"4-5","< 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,26,19
"AMPL3M","AMPL3M","American plaice","Hippoglossoides platessoides","Hippoglossoides platessoides","Pleuronectiformes","Pleuronectidae","Pleuronectidae","marine","finfish","Canada","Canada East Coast","Flemish Cap (NAFO Div. 3M)","E. de C\'{a}rdenas. 1997. An assessment on American plaice in Division 3M.  NAFO SCR Doc. 97/45",NA,"RV","Index","Index","Tonnes",NA,"2",2,NA,NA,"2.15",NA,NA,NA,NA,NA,"47 00","-45 00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,7
"AMPL3Ps","AMPL3Ps","American plaice","Hippoglossoides platessoides","Hippoglossoides platessoides","Pleuronectiformes","Pleuronectidae","Pleuronectidae","marine","finfish","Canada","Canada East Coast","NAFO 3Ps","Brodie. 1991. CAFSAC Res. Doc. 91/72.","SPA, 6 year olds in (000's)","SPA",NA,"Thousands","Tonnes","9-15","6",6,"Demersal","Oviparous, pelagic","2.15","5","25","20","9.3",NA,"46 00","-55 30",NA,NA,"0.24","0.525",NA,NA,"Scott, W. B. and  M. G. Scott. 1988. Atlantic fishes of Canada. Can. Bull. Fish. Aquat. Sci. 219.",NA,"22-23","< 30",NA,"4-5","< 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,0
"AMPL4V",NA,"American plaice","Hippoglossoides platessoides","Hippoglossoides platessoides","Pleuronectiformes","Pleuronectidae","Pleuronectidae","marine","finfish","Canada","Canada East Coast","NAFO 4V","Neilson, J. D., and P. Perley. 1986. A review of the status of the 4VWX flatfish stocks. CAFSAC Res. Doc. 86/48: 31 p.; Nielson, J. D., and P. Perley. 1988. An update on the status of 4VWX flatfish stocks. CAFSAC Res. Doc. 88/57: 33 p.","RV(3+4) index * 1000","RV",NA,NA,"Tonnes",NA,NA,NA,"Demersal","Oviparous, pelagic","2.15","5","25","20","9.3","Shelf","43 25","-57 00",NA,NA,NA,NA,NA,NA,"Scott, W. B. and  M. G. Scott. 1988. Atlantic fishes of Canada. Can. Bull. Fish. Aquat. Sci. 219.",NA,"22-23","< 30",NA,"4-5","< 8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,0
