"species","species_orig","species_use","linf_cm","k","winf_g","tmax_yr","tmat_yr","m","lmat_cm","temp_c"
"Sebastes fasciatus","Sebastes fasciatus","Sebastes fasciatus",36.0796589948631,0.151675321662475,722.588724926144,27.9998562126589,6.12372652901606,0.139530289127198,23.0143726420409,11.7283330914818
"Scomber colias","Scomber colias","Scomber colias",48.2411147228293,0.343355522152664,1179.23513543832,9.22100978799071,2.51861828963316,0.474276751044858,29.1368587026234,17.791860956864
"Beryx splendens","Beryx splendens","Beryx splendens",52.5171412393861,0.138910542106007,3132.67861890821,14.7579353629284,5.31192872773167,0.324890609761936,28.8662693712383,15.6081968448869
"Thunnus alalunga","Thunnus alalunga","Thunnus alalunga",141.864513874259,0.180272954729569,37677.4853497062,15.0009396105679,4.74425572570805,0.255720222864568,81.3580941439297,15.824897072437
"Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus","Pleuronectes quadrituberculatus",49.156977684204,0.122501247156982,1404.55979374377,36.1242037762265,7.35238763079994,0.128915032457181,28.1003651952934,5.65492455346262
"Bathyraja parmifera","Bathyraja parmifera","Bathyraja parmifera",91.347929285686,0.100657559617038,4987.35685804235,19.954539604477,10.3021707942869,0.212400187084653,57.1715679737779,14.421746753602
"Hippoglossoides platessoides","Hippoglossoides platessoides","Hippoglossoides platessoides",62.5789650345892,0.107111675628409,2558.34895069748,26.9517303990365,7.47805125626533,0.210817512287924,31.9300381515836,3.09604437483178
"Engraulis encrasicolus","Engraulis encrasicolus","Engraulis encrasicolus",18.2078408527517,0.48448519812328,36.5596468918355,4.7532367952289,1.16282032017003,0.858747908570136,10.2242200340028,14.1698052263871
"Clupeonella engrauliformis","Clupeonella engrauliformis","Clupeonella engrauliformis",16.0673528912382,0.619137029011189,40.8407535477919,4.7211373431896,1.54128130813135,0.979025174995242,10.4330559742819,18.9165750137519
"Lophius budegassa","Lophius budegassa","Lophius budegassa",88.0012512146827,0.11157466841098,8190.97278479409,12.758876947497,4.06875571064883,0.28318331494671,34.9123820727996,14.1410881491551
"Theragra chalcogramma","Theragra chalcogramma","Theragra chalcogramma",64.1972130532834,0.256760882756684,1583.98853511185,11.359642388051,2.68566106435254,0.406954615049328,35.5722567835548,4.28400042434099
"Pandalus eous","Pandalus eous","Pandalus eous",NA,NA,NA,NA,NA,NA,NA,NA
"Mactromeris polynyma","Mactromeris polynyma","Mactromeris polynyma",NA,NA,NA,NA,NA,NA,NA,NA
