"model","k","lik","aic","daic"
"SST-Ricker",719,6362.96216800529,14163.9243360106,0
"SST-LME-Ricker",720,6362.96216800777,14165.9243360155,2.0000000049622
"Ricker",717,6456.84807609023,14347.6961521805,183.771816169881
